;AANTAL TELDAGEN;DATUM;NAAM WAARNEMER;VERTREKTIJD;AANKOMSTTIJD;WEER;BIJZONDERHEDEN;AANTAL WAARNEMINGEN;EDELHERT;EDELHERT MAN;EDELHERT HINDE;EDELHERT SMALDIER;EDELHERT SPITSER;EDELHERT KALF;DAMHERT;DAMHERT MANNELIJK;DAMHERT VROUWELIJK;DAMHERT KALF;DAMHERT SPITSER;REE;REEBOK;REEGEIT;REEKALF;WILD ZWIJN;WILD ZWIJN KEILER;WILD ZWIJN ZEUG;WILD ZWIJN OVERLOPER;WILD ZWIJN BIG;VLUCHTGEDRAG;WAARNEMINGSAFSTAND;WAAR
0;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);50,0;
1;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;5,0;2,0;;2,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);30,0;
2;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;1,0;;;1,0;;;;;;;;;;;;;;;Staand (ongestoord);90,0;
3;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;;;;;;;1,0;;;;;;;Laag vluchten (rustig weglopend);60,0;
4;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;;1,0;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);30,0;
5;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;2,0;;1,0;;;;;;;;;;;;;;;;ST/WZ;60,0;
6;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;2,0;;2,0;1,0;;;;;;;;;;;;;;;Staand (ongestoord);100,0;
7;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;1,0;;;;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);50,0;
8;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;;;;;;1,0;;;;;;;;Laag vluchten (rustig weglopend);50,0;
9;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;;1,0;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);30,0;
10;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;;1,0;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);30,0;
11;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;2,0;;;;;;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);70,0;
12;1;2004-07-03;Marc/Renee;6.25;7,4;benauwd,regenachtig;;13,0;;;;;;;;7,0;;;;;;;;;;;;;Staand (ongestoord);50,0;
13;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;;2,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);75,0;
14;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;;;;;;1,0;;;;;;;;Laag vluchten (rustig weglopend);125,0;
15;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;6,0;;;;;;;;;;;;;Staand (ongestoord);60,0;
16;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);55,0;
17;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);175,0;
18;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;;;;;1,0;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
19;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;1,0;;;;;;;;;;;;;Staand (ongestoord);40,0;
20;2;2004-07-10;Hans/Carl;6.3;7,4;somber,droog;;8,0;;;;;;;;;3,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);50,0;
21;3;2004-07-17;Renee/Marc;6.4;7,42;Zonnig en Benauwd;;5,0;;;;;;;5,0;;;;;;;;;;;;;;Staand (ongestoord);100,0;
22;3;2004-07-17;Renee/Marc;6.4;7,42;Zonnig en Benauwd;;5,0;;;;;;;;;1,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);80,0;
23;3;2004-07-17;Renee/Marc;6.4;7,42;Zonnig en Benauwd;;5,0;;;;;;;;;;;;;1,0;;;;;;;;ST/WZ;50,0;
24;3;2004-07-17;Renee/Marc;6.4;7,42;Zonnig en Benauwd;;5,0;;;;;;;;8,0;;;;;;;;;;;;;Staand (ongestoord);250,0;
25;3;2004-07-17;Renee/Marc;6.4;7,42;Zonnig en Benauwd;;5,0;;;;;;;;;;;;;;1,0;;;;;;;ST/WZ;70,0;
26;4;2004-07-23;Renee/Carl;6.5;8,05;dichte mist;;4,0;;;;;;;;;2,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);40,0;
27;4;2004-07-23;Renee/Carl;6.5;8,05;dichte mist;;4,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);30,0;
28;4;2004-07-23;Renee/Carl;6.5;8,05;dichte mist;;4,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);70,0;
29;4;2004-07-23;Renee/Carl;6.5;8,05;dichte mist;;4,0;;;1,0;;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
30;5;2004-07-31;Marc/Hans;6.59;7,55;Droog, beetje nevel;;2,0;;;;;;;;;;;;;1,0;;1,0;;;;;;Laag vluchten (rustig weglopend);80,0;
31;5;2004-07-31;Marc/Hans;6.59;7,55;Droog, beetje nevel;;2,0;;;4,0;;;2,0;;;;;;;;;;;;;;;ST/WZ;120,0;
32;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);75,0;
33;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);35,0;
34;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;1,0;;;;;;;;;;;;;Staand (ongestoord);35,0;
35;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;;;;;1,0;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
36;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;;;;;;;;;;1,0;;;;Staand (ongestoord);40,0;
37;6;2004-08-07;Hans;7.1;8,15;Broeierig,heiig;;6,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);20,0;
38;7;2004-08-14;Renee/Hans;7.21;8,15;Vochtig, helder;;1,0;;;;;;;;;4,0;1,0;;;;;;;;;;;Laag vluchten (rustig weglopend);75,0;
39;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;;;;2,0;;;;;;;;;;;;;;;Staand (ongestoord);140,0;
40;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);110,0;
41;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;;;;;;;;;;;;1,0;;;;;;;Laag vluchten (rustig weglopend);30,0;
42;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;;;;;;;;;;;;1,0;;;;;;;ST/WZ;80,0;
43;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;;;;;;3,0;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);100,0;
44;8;2004-08-21;Renee/Marc;7.35;8,4;Regenachtig;rood busje;6,0;;;;;;;;;1,0;1,0;;;;;;;;;;;ST/WZ;80,0;
45;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;;6,0;2,0;;;;;;;;;;;Laag vluchten (rustig weglopend);80,0;
46;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;6,0;;;;;;;;;;;;;ST/WZ;110,0;
47;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;1,0;;;;;;;;;;;;;;;;;;;Staand (ongestoord);150,0;
48;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;3,0;;;;;;;;;;;;;Laag vluchten (rustig weglopend);40,0;
49;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;1,0;;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);75,0;
50;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;;;;1,0;;;;;;;;;;Laag vluchten (rustig weglopend);100,0;
51;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;;1,0;1,0;;;;;;;;;;;ST/WZ;80,0;
52;9;2004-08-28;Marc/Carl;7.48;8,55;Nat,Mist;rood busje;8,0;;;;;;;;;1,0;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);60,0;
53;10;2004-09-04;Hans/Carl;7.55;8,55;helder,fris;;0,0;;;;;;;;;;;;;;;;;;;;;;;
54;11;2004-09-11;Renee/Hans;8.07;9,15;Helder;;3,0;;;;;;;;;1,0;;;;;;;;;;;;Staand (ongestoord);60,0;
55;11;2004-09-11;Renee/Hans;8.07;9,15;Helder;;3,0;;;;;;;;1,0;;;;;;;;;;;;;Staand (ongestoord);180,0;
56;11;2004-09-11;Renee/Hans;8.07;9,15;Helder;;3,0;;1,0;;;;;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);100,0;
57;12;2004-09-19;Hans/Carl;8.15;9,15;Droog,mooi najaarsweer;;3,0;;;;;;;1,0;;;;;;;;;;;;;;Staand (ongestoord);175,0;
58;12;2004-09-19;Hans/Carl;8.15;9,15;Droog,mooi najaarsweer;;3,0;;;;;;;;1,0;;;;;;;;;;;;;Staand (ongestoord);25,0;
59;12;2004-09-19;Hans/Carl;8.15;9,15;Droog,mooi najaarsweer;;3,0;;;;;;;;;1,0;;;;;;;;;;;;Staand (ongestoord);70,0;
60;13;2004-10-02;Marc/Carl;8.4;9,55;Regenachtig;;4,0;;;;;;;;;;;;;;;;;;;3,0;;Staand (ongestoord);25,0;
61;13;2004-10-02;Marc/Carl;8.4;9,55;Regenachtig;;4,0;1,0;;1,0;;;1,0;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);40,0;
62;13;2004-10-02;Marc/Carl;8.4;9,55;Regenachtig;;4,0;;;;;;;;;2,0;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);40,0;
63;13;2004-10-02;Marc/Carl;8.4;9,55;Regenachtig;;4,0;;;;;;;;;;;;;;1,0;1,0;;;;;;Staand (ongestoord);150,0;
64;14;2004-10-09;Marc/Renee;8.55;10,15;helder,fris;fotograaf in het rustgebied;5,0;;;;;;;;1,0;4,0;;;;;;;;;;;;Staand (ongestoord);100,0;
65;14;2004-10-09;Marc/Renee;8.55;10,15;helder,fris;fotograaf in het rustgebied;5,0;;;1,0;;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);150,0;
66;14;2004-10-09;Marc/Renee;8.55;10,15;helder,fris;fotograaf in het rustgebied;5,0;;;;;;;;;;;;;1,0;;;;;;;;Staand (ongestoord);200,0;
67;14;2004-10-09;Marc/Renee;8.55;10,15;helder,fris;fotograaf in het rustgebied;5,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);80,0;
68;14;2004-10-09;Marc/Renee;8.55;10,15;helder,fris;fotograaf in het rustgebied;5,0;;;;;;;8,0;;;;;;;;;;;;;;Staand (ongestoord);250,0;
69;15;2004-10-16;Hans/Carl;9.05;10,05;somber weer;;5,0;;;;;;;;1,0;;;;;;;;;;;;;Laag vluchten (rustig weglopend);30,0;
70;15;2004-10-16;Hans/Carl;9.05;10,05;somber weer;;5,0;;1,0;;;;;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);40,0;
71;15;2004-10-16;Hans/Carl;9.05;10,05;somber weer;;5,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);35,0;
72;15;2004-10-16;Hans/Carl;9.05;10,05;somber weer;;5,0;;;;;;;4,0;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
73;15;2004-10-16;Hans/Carl;9.05;10,05;somber weer;;5,0;;;;;;;;;1,0;2,0;1,0;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);60,0;
74;16;2004-10-23;Hans/Carl;9.1;10,1;Nat;;4,0;;;;;;;7,0;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);50,0;
75;16;2004-10-23;Hans/Carl;9.1;10,1;Nat;;4,0;;;;;;;18,0;1,0;;;;;;;;;;;;;Laag vluchten (rustig weglopend);80,0;
76;16;2004-10-23;Hans/Carl;9.1;10,1;Nat;;4,0;;;;;;;;;3,0;1,0;;;;;;;;;;;Laag vluchten (rustig weglopend);100,0;
77;16;2004-10-23;Hans/Carl;9.1;10,1;Nat;;4,0;;;1,0;1,0;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);120,0;
78;17;2004-10-30;Hans/Carl;9.15;10,1;herfstachtig;;0,0;;;;;;;;;;;;;;;;;;;;;;;
79;18;2004-11-06;Marc/Renee;8.44;10,0;licht bewolkt af en toe regen;;1,0;;;;;;;;1,0;1,0;;;;;;;;;;;;Waakzaam (alert);60,0;
80;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;;;;;;;;;;;1,0;1,0;;;;;;;Staand (ongestoord);200,0;
81;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;;;;;;;;;;;;1,0;1,0;;;;;;Laag vluchten (rustig weglopend);100,0;
82;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;;;;;25,0;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);130,0;
83;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;;;;;;;;;;;;2,0;1,0;;;;;;Laag vluchten (rustig weglopend);80,0;
84;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;;;;;;;2,0;;;;;;;;;;;;Waakzaam (alert);60,0;
85;19;2004-11-13;Marc/Renee;8.55;10,1;helder,fris;;6,0;;;4,0;;2,0;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);50,0;
86;20;2004-11-20;Hans/Carl;9.0;10,0;droog en fris;;0,0;;;;;;;;;;;;;;;;;;;;;;;
87;22;2004-11-27;Marc/Hans;9.2;10,3;Droog,  nevel;;1,0;;;2,0;1,0;;1,0;;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
88;21;2004-12-04;Renee/Carl;9.35;10,4;Fris, mistig;;;;;;;;;;;;;;1,0;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);40,0;
89;21;2004-12-04;Renee/Carl;9.35;10,4;Fris, mistig;;;;;;;;;;;;;;1,0;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);30,0;
90;23;2004-12-11;Marc/Renee;9.38;10,5;Koud en nevelig;fotograaf in het rustgebied;1,0;;;;;;;;;2,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);50,0;
91;24;2004-12-18;Hans/Carl;9.4;10,4;Koud ;;0,0;;;;;;;;;;;;;;;;;;;;;;;
92;25;2004-12-25;Marc/Renee;9.5;11,15;Helder,fris en nat;;2,0;;1,0;;;;1,0;;;;;;;;;;;;;;;Staand (ongestoord);110,0;
93;25;2004-12-25;Marc/Renee;9.5;11,15;Helder,fris en nat;;2,0;;;;;;;;3,0;;;;;;;;;;;;;Staand (ongestoord);80,0;
94;26;2005-01-01;Marc/Renee;09.15;11,15;Mistig en koud;;2,0;;;;;;;;;;;;;;1,0;;;;;;;ST/WZ;100,0;
95;26;2005-01-01;Marc/Renee;09.15;11,15;Mistig en koud;;2,0;;;;;;;;;1,0;1,0;;;;;;;;;;;Laag vluchten (rustig weglopend);150,0;
96;27;2005-01-08;Hans/Carl;09.45;11,05;Droog eb zacht veel wind;;0,0;;;;;;;;;;;;;;;;;;;;;;;
97;27;2005-01-08;Hans/Carl;09.45;11,05;Droog eb zacht veel wind;;0,0;;;;;;;;;;;;;;;;;;;;;;;
98;28;2005-01-15;Hans/Carl;09.41;10,45;Droog vriezend;;4,0;;;;;;;;;1,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);30,0;
99;28;2005-01-15;Hans/Carl;09.41;10,45;Droog vriezend;;4,0;;;;;;;;;;;;;;1,0;;;;;;;Staand (ongestoord);50,0;
100;28;2005-01-15;Hans/Carl;09.41;10,45;Droog vriezend;;4,0;;;;;;;;;5,0;2,0;;;;;;;;;;;Laag vluchten (rustig weglopend);45,0;
101;28;2005-01-15;Hans/Carl;09.41;10,45;Droog vriezend;;4,0;;;;;;;;1,0;4,0;;;;;;;;;;;;Laag vluchten (rustig weglopend);70,0;
102;29;2005-01-22;Renee/Hans;9.34;10,4;Helder en fris weer;;2,0;;;;;;;;;;;;;;1,0;;;;;;;Laag vluchten (rustig weglopend);100,0;
103;29;2005-01-22;Renee/Hans;9.34;10,4;Helder en fris weer;;2,0;;;;;;;;;;;;5,0;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);500,0;
104;30;2005-01-29;Marc/Carl;09.25;10,4;Mistig en koud;;4,0;;;;;;;;;2,0;1,0;;;;;;;;;;;Laag vluchten (rustig weglopend);140,0;
105;30;2005-01-29;Marc/Carl;09.25;10,4;Mistig en koud;;4,0;;;;;;;;;;;;;1,0;4,0;;;;;;;Laag vluchten (rustig weglopend);110,0;
106;30;2005-01-29;Marc/Carl;09.25;10,4;Mistig en koud;;4,0;;;;;;;;;3,0;1,0;;;;;;;;;;;Hoog vluchten (hoge snelheid wegvluchten);50,0;
107;30;2005-01-29;Marc/Carl;09.25;10,4;Mistig en koud;;4,0;;;;;;;15,0;;;;;;;;;;;;;;Laag vluchten (rustig weglopend);60,0;
