;DATUM;EDELHERT;EDELHERT MAN;EDELHERT HINDE;EDELHERT SMALDIER;EDELHERT SPITSER;EDELHERT KALF;DAMHERT;DAMHERT MANNELIJK;DAMHERT VROUWELIJK;DAMHERT KALF;DAMHERT SPITSER;REE;REEBOK;REEGEIT;REEKALF;WILD ZWIJN;WILD ZWIJN KEILER;WILD ZWIJN ZEUG;WILD ZWIJN OVERLOPER;WILD ZWIJN BIG;TOTAAL
0;2004-07-03;2,0;0,0;12,0;3,0;3,0;5,0;0,0;7,0;3,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;37,0
1;2004-07-10;0,0;0,0;1,0;1,0;0,0;1,0;0,0;7,0;5,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0
2;2004-07-17;0,0;0,0;0,0;0,0;0,0;0,0;5,0;8,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;16,0
3;2004-07-23;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0
4;2004-07-31;0,0;0,0;4,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;8,0
5;2004-08-07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;6,0
6;2004-08-14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0
7;2004-08-21;0,0;0,0;1,0;1,0;0,0;3,0;0,0;3,0;1,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0
8;2004-08-28;0,0;1,0;1,0;0,0;0,0;1,0;0,0;9,0;8,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,0
9;2004-09-04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;2004-09-11;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0
11;2004-09-19;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0
12;2004-10-02;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;3,0;0,0;10,0
13;2004-10-09;0,0;0,0;2,0;1,0;0,0;2,0;8,0;1,0;4,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0
14;2004-10-16;0,0;1,0;1,0;1,0;0,0;1,0;4,0;1,0;1,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0
15;2004-10-23;0,0;0,0;1,0;1,0;0,0;1,0;25,0;1,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,0
16;2004-10-30;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;2004-11-06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0
18;2004-11-13;0,0;0,0;4,0;0,0;2,0;1,0;25,0;0,0;2,0;0,0;0,0;0,0;1,0;4,0;2,0;0,0;0,0;0,0;0,0;0,0;41,0
19;2004-11-20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;2004-11-27;0,0;0,0;2,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0
21;2004-12-04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0
22;2004-12-11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0
23;2004-12-18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;2004-12-25;0,0;1,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0
25;2005-01-01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0
26;2005-01-08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
27;2005-01-15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;10,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0
28;2005-01-22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0
29;2005-01-29;0,0;0,0;0,0;0,0;0,0;0,0;15,0;0,0;5,0;2,0;0,0;0,0;1,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;27,0
30;2005-02-05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0
31;2005-02-12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0
32;2005-02-19;5,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;7,0;0,0;0,0;0,0;3,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;23,0
33;2005-02-26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
34;2005-03-05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
35;2005-03-12;1,0;0,0;1,0;1,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0
36;2005-03-19;0,0;0,0;2,0;2,0;0,0;2,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0
37;2005-03-26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0
38;2005-04-02;0,0;0,0;9,0;0,0;0,0;0,0;0,0;3,0;7,0;2,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,0
39;2005-04-09;0,0;0,0;1,0;1,0;0,0;1,0;0,0;4,0;6,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;16,0
40;2005-04-16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
41;2005-04-23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0
42;2005-04-30;9,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0
43;2005-05-07;0,0;0,0;3,0;1,0;0,0;2,0;0,0;5,0;0,0;0,0;0,0;0,0;1,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;17,0
44;2005-05-14;12,0;7,0;2,0;0,0;2,0;0,0;7,0;6,0;2,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;5,0;46,0
45;2005-05-21;0,0;4,0;3,0;1,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;11,0
46;2005-05-28;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,0;0,0;0,0;0,0;2,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0
47;2005-06-04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0
48;2005-06-11;1,0;4,0;1,0;0,0;1,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;1,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0
49;2005-06-18;0,0;0,0;2,0;0,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;2,0;5,0;0,0;0,0;0,0;2,0;3,0;10,0;27,0
50;2005-06-25;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0
51;2005-07-02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0
52;2005-07-09;0,0;0,0;4,0;0,0;0,0;0,0;0,0;4,0;10,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;21,0
53;2005-07-16;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;4,0;0,0;0,0;0,0;8,0;15,0
