;DATUM;TIJD;LOCATIE;MAN. > 2 JR.;MAN. 1-2 JR.;MAN. < 1 JAAR;VR. > 2 JR.;VR. 1-2 JR.;VR. < 1 JR.;MANNELIJK;VROUWELIJK;KALVEREN;BIJZONDERHEDEN;TOTAAL
0;2022-10-04;00:00;GROENENDAAL;12,0;2,0;3,0;22,0;3,0;3,0;;;;Afzondering kalfje in bosrand zelfde Situatie Als Laatste Keer, Bij Conditietest;45,0
1;2022-10-04;00:00;TONNEKESWEG;1,0;0,0;0,0;2,0;1,0;0,0;;;;;4,0
2;2022-10-04;00:00;LAPPENDEKEN;6,0;0,0;3,0;4,0;0,0;0,0;;;;;13,0
3;2022-10-04;00:00;WEILAND CAROLINAHOEVE;6,0;0,0;1,0;0,0;6,0;0,0;;;;;13,0
4;2022-10-04;00:00;LOENERMARK - FAKKERT;4,0;2,0;0,0;7,0;0,0;1,0;;;;;14,0
5;2022-10-17;11:30;TERLET;12,0;0,0;1,0;14,0;2,0;1,0;;;;;30,0
6;2022-10-17;12:45;RUSTGEBIED GALGENBERG;7,0;0,0;1,0;8,0;0,0;0,0;;;;Prima conditie. 4x zwart + 8 Koeien Noordelijke Galgenberg + 13 Edelherten Niet Verstoord;16,0
7;2022-10-17;13:50;DE BRAAK;3,0;2,0;1,0;4,0;3,0;0,0;;;;;13,0
8;2022-10-17;10:20;VIP - Imbosch Berg;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
9;2022-10-17;10:20;Tunnekesweg/Doornstruik;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
10;2022-10-17;15:15;TUNNEKES THV WILDAKKER;2,0;0,0;0,0;3,0;0,0;0,0;;;;;5,0
11;2022-10-17;15:30;Posbank - Poel;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
12;2022-11-01;10:15;RH. W-RH Heide/Wapenveen/Ringallee;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
13;2022-11-01;10:50;Tonnekesweg;0,0;0,0;0,0;2,0;0,0;0,0;;;;Wildakker NA;2,0
14;2022-11-01;11:30;Omgeving Doornstruik/Kolk;9,0;0,0;0,0;5,0;0,0;0,0;;;;Conditie goed!;14,0
15;2022-11-01;12:30;Terletse Heide/Terletseweg Poel;1,0;0,0;0,0;0,0;0,0;0,0;;;;Conditie goed.;1,0
16;2022-11-01;12:45;Terlet;15,0;1,0;3,0;30,0;1,0;3,0;;;;;53,0
17;2022-11-01;12:45;Terlet;0,0;0,0;1,0;7,0;0,0;2,0;;;;;10,0
18;2022-11-14;15:50;Hessengat-Terletse Heide;3,0;0,0;0,0;3,0;0,0;1,0;;;;;7,0
19;2022-11-14;15:55;Beerenberg - Eerbeekseweg;4,0;1,0;0,0;11,0;0,0;0,0;;;;;16,0
20;2022-11-14;13:00;Imbosch - Jachthuis;3,0;0,0;0,0;1,0;0,0;0,0;;;;;4,0
21;2022-11-14;14:00;Groenendaal;14,0;0,0;1,0;21,0;2,0;5,0;;;;Solitair kalfje, al eerder aangetroffen.;43,0
22;2022-11-14;15:00;De Braak - Weiland Terlet;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
23;2022-11-14;10:15;LAPPENDEKEN - ONZ. BOSSEH;6,0;0,0;0,0;4,0;1,0;1,0;;;;;12,0
24;2022-11-14;10:30;CAROLINAHOEVE - WEILAND;3,0;0,0;1,0;3,0;0,0;2,0;;;;;9,0
25;2022-11-14;00:00;HUPKESBOS - SCHADDEVELD- WEVERSBERGEN;0,0;0,0;0,0;0,0;0,0;0,0;;;;;0,0
26;2022-11-28;10:25;KLEINE HEIDE;1,0;0,0;0,0;0,0;0,0;0,0;;;;;1,0
27;2022-11-28;10:40;GALGENBERG - RUSTGEBIED D.W.;5,0;0,0;0,0;4,0;0,0;0,0;;;;VERSPREID DOOR RUSTGEBIED PRIMA CONDITIE!;9,0
28;2022-11-28;11:45;DEELENSE ZW / BRINKHORSTERWEG;6,0;1,0;0,0;11,0;0,0;0,0;;;;4X ZWART DEK;18,0
29;2022-11-28;12:30;RAMENBERG-WEILAND;12,0;0,0;0,0;10,0;0,0;0,0;;;;;22,0
30;2022-11-28;13:00;GROENENDAAL;15,0;1,0;1,0;26,0;6,0;6,0;;;;* SOLITAIR KALFJE, 6 DAMMEN MANNELIJK;55,0
