DATUM;MAN. > 2 JR.;MAN. 1-2 JR.;MAN. < 1 JAAR;VR. > 2 JR.;VR. 1-2 JR.;VR. < 1 JR.;MANNELIJK;VROUWELIJK;KALVEREN;TOTAAL
2022-10-04;29,0;4,0;7,0;35,0;10,0;4,0;0,0;0,0;0,0;89,0
2022-10-17;24,0;2,0;3,0;29,0;5,0;1,0;0,0;0,0;0,0;64,0
2022-11-01;25,0;1,0;4,0;44,0;1,0;5,0;0,0;0,0;0,0;80,0
2022-11-14;33,0;1,0;2,0;43,0;3,0;9,0;0,0;0,0;0,0;91,0
2022-11-28;44,0;2,0;1,0;56,0;7,0;6,0;0,0;0,0;0,0;116,0
2022-12-12;41,0;0,0;4,0;53,0;8,0;10,0;0,0;0,0;0,0;116,0
2022-12-20;19,0;1,0;1,0;33,0;6,0;7,0;0,0;0,0;0,0;67,0
2023-01-09;43,0;2,0;0,0;56,0;13,0;4,0;0,0;0,0;0,0;144,0
2023-01-23;42,0;2,0;1,0;54,0;6,0;3,0;0,0;0,0;0,0;108,0
2023-01-30;44,0;2,0;1,0;67,0;9,0;11,0;0,0;0,0;0,0;134,0
2023-02-06;56,0;3,0;3,0;90,0;8,0;6,0;0,0;0,0;0,0;166,0
2023-02-13;56,0;9,0;3,0;86,0;6,0;4,0;0,0;0,0;0,0;164,0
2023-02-20;44,0;4,0;3,0;85,0;7,0;4,0;0,0;0,0;0,0;147,0
2023-02-27;45,0;0,0;3,0;53,0;5,0;2,0;0,0;0,0;0,0;108,0
2023-03-06;50,0;3,0;2,0;66,0;5,0;5,0;0,0;0,0;0,0;131,0
2023-03-14;42,0;4,0;3,0;81,0;5,0;6,0;0,0;0,0;0,0;141,0
2023-03-20;41,0;6,0;2,0;90,0;7,0;15,0;0,0;0,0;0,0;161,0
2023-03-27;43,0;6,0;7,0;73,0;2,0;12,0;0,0;0,0;0,0;143,0
2023-04-03;40,0;5,0;8,0;75,0;7,0;7,0;0,0;0,0;0,0;142,0
2023-04-11;40,0;5,0;14,0;60,0;4,0;9,0;0,0;0,0;0,0;132,0
2023-04-17;38,0;11,0;26,0;91,0;7,0;6,0;0,0;0,0;0,0;179,0
